试验批次,时间_d,介质,氧化还原条件,温度_C,pH,土壤含水率,Eh_mV,土壤foc,DO_mg_L,光照因子,NOM_mg_L,硝酸盐_mmol_L,6PPD_mg_kg,6PPD_Q_mg_kg
soil_A_01,0,soil,aerobic,22,6.8,0.30,250,0.020,7.5,0.0,0,0.1,5.000,0.000
soil_A_01,1,soil,aerobic,22,6.8,0.30,250,0.020,7.5,0.0,0,0.1,2.650,0.045
soil_A_01,3,soil,aerobic,22,6.8,0.30,250,0.020,7.5,0.0,0,0.1,0.740,0.090
soil_A_01,7,soil,aerobic,22,6.8,0.30,250,0.020,7.5,0.0,0,0.1,0.060,0.075
soil_A_01,14,soil,aerobic,22,6.8,0.30,250,0.020,7.5,0.0,0,0.1,0.010,0.052
soil_B_01,0,soil,anaerobic,20,7.1,0.45,-120,0.035,0.2,0.0,0,0.0,5.000,0.000
soil_B_01,7,soil,anaerobic,20,7.1,0.45,-120,0.035,0.2,0.0,0,0.0,4.520,0.020
soil_B_01,14,soil,anaerobic,20,7.1,0.45,-120,0.035,0.2,0.0,0,0.0,4.070,0.034
soil_B_01,30,soil,anaerobic,20,7.1,0.45,-120,0.035,0.2,0.0,0,0.0,3.260,0.045
soil_B_01,60,soil,anaerobic,20,7.1,0.45,-120,0.035,0.2,0.0,0,0.0,2.220,0.038
water_A_01,0,water,aerobic,20,7.2,0.00,220,0.000,8.0,1.0,5,1.0,0.050,0.000
water_A_01,0.25,water,aerobic,20,7.2,0.00,220,0.000,8.0,1.0,5,1.0,0.021,0.002
water_A_01,0.5,water,aerobic,20,7.2,0.00,220,0.000,8.0,1.0,5,1.0,0.009,0.003
water_A_01,1,water,aerobic,20,7.2,0.00,220,0.000,8.0,1.0,5,1.0,0.002,0.002
water_A_01,2,water,aerobic,20,7.2,0.00,220,0.000,8.0,1.0,5,1.0,0.000,0.001
water_B_01,0,water,aerobic,12,6.5,0.00,180,0.000,9.0,0.0,2,0.0,0.050,0.000
water_B_01,0.25,water,aerobic,12,6.5,0.00,180,0.000,9.0,0.0,2,0.0,0.040,0.001
water_B_01,0.5,water,aerobic,12,6.5,0.00,180,0.000,9.0,0.0,2,0.0,0.032,0.002
water_B_01,1,water,aerobic,12,6.5,0.00,180,0.000,9.0,0.0,2,0.0,0.021,0.002
water_B_01,2,water,aerobic,12,6.5,0.00,180,0.000,9.0,0.0,2,0.0,0.009,0.002
