温度_C,降水_mm_d,土壤含水率,土壤foc,土壤pH,TWP粒径_um,6PPD含量_pct,老化天数,释放量_mg,土壤浓度_mg_kg
22,3.0,0.30,0.02,6.8,50,1.0,7,1.575,0.0042
22,3.0,0.30,0.02,6.8,50,1.0,30,3.057,0.0019
22,3.0,0.30,0.02,6.8,50,1.0,90,4.883,0.0009
22,3.0,0.30,0.02,6.8,50,1.0,180,6.451,0.0005
22,3.0,0.30,0.02,6.8,50,1.0,365,8.112,0.0003
15,4.0,0.35,0.03,7.0,50,1.0,30,2.394,0.0032
25,6.0,0.35,0.02,6.5,50,1.0,30,3.507,0.0030
32,1.5,0.12,0.01,7.5,50,1.0,30,3.896,0.0037
22,3.0,0.30,0.02,6.8,25,1.0,30,6.215,0.0012
22,3.0,0.30,0.02,6.8,100,1.0,30,1.852,0.0011
22,3.0,0.30,0.02,6.8,50,0.5,30,1.529,0.0009
22,3.0,0.30,0.02,6.8,50,2.0,30,6.114,0.0037
15,0.5,0.10,0.01,7.2,50,1.0,90,3.370,0.0052
25,0.3,0.08,0.01,7.8,50,1.0,90,4.771,0.0077
22,3.0,0.30,0.02,6.8,50,1.0,14,2.230,0.0030
22,3.0,0.30,0.02,6.8,50,1.0,60,3.950,0.0013
22,3.0,0.30,0.02,6.8,50,1.0,120,5.600,0.0007
22,3.0,0.30,0.02,6.8,50,1.0,270,7.430,0.0004
10,2.5,0.28,0.04,6.5,50,1.0,30,1.823,0.0028
30,5.0,0.33,0.02,6.8,50,1.0,30,3.821,0.0029
