温度_C,降水_mm_d,土壤含水率,土壤foc,土壤pH,TWP粒径_um,6PPD含量_pct,老化天数,释放量_mg,土壤浓度_mg_kg,预测_释放量_mg,预测_土壤浓度_mg_kg
22,3.0,0.3,0.02,6.8,50,1.0,7,1.575,0.0042,3.0718,0.0023
22,3.0,0.3,0.02,6.8,50,1.0,30,3.057,0.0019,3.431,0.0021
22,3.0,0.3,0.02,6.8,50,1.0,90,4.883,0.0009,4.3681,0.0017
22,3.0,0.3,0.02,6.8,50,1.0,180,6.451,0.0005,5.7737,0.0011
22,3.0,0.3,0.02,6.8,50,1.0,365,8.112,0.0003,8.663,-0.0001
15,4.0,0.35,0.03,7.0,50,1.0,30,2.394,0.0032,2.6098,0.0035
25,6.0,0.35,0.02,6.5,50,1.0,30,3.507,0.003,3.4926,0.0021
32,1.5,0.12,0.01,7.5,50,1.0,30,3.896,0.0037,4.1178,0.005
22,3.0,0.3,0.02,6.8,25,1.0,30,6.215,0.0012,4.5633,0.0023
22,3.0,0.3,0.02,6.8,100,1.0,30,1.852,0.0011,1.1663,0.0017
22,3.0,0.3,0.02,6.8,50,0.5,30,1.529,0.0009,2.0459,0.0013
22,3.0,0.3,0.02,6.8,50,2.0,30,6.114,0.0037,6.2011,0.0038
15,0.5,0.1,0.01,7.2,50,1.0,90,3.37,0.0052,3.6686,0.0051
25,0.3,0.08,0.01,7.8,50,1.0,90,4.771,0.0077,4.4664,0.0061
22,3.0,0.3,0.02,6.8,50,1.0,14,2.23,0.003,3.1811,0.0022
22,3.0,0.3,0.02,6.8,50,1.0,60,3.95,0.0013,3.8995,0.0019
22,3.0,0.3,0.02,6.8,50,1.0,120,5.6,0.0007,4.8366,0.0015
22,3.0,0.3,0.02,6.8,50,1.0,270,7.43,0.0004,7.1793,0.0005
10,2.5,0.28,0.04,6.5,50,1.0,30,1.823,0.0028,1.8763,0.0025
30,5.0,0.33,0.02,6.8,50,1.0,30,3.821,0.0029,3.968,0.0022
